reftime,day,timeofday,weekday,missing,homDist,radiusMobility,percentHomep,percentHome,numPlaces
1727395200000,  1,00:00:00,7,,,,,,
1727481600000,  2,00:00:00,1,14.37,0,1.21,87,90,6
1727568000000,  3,00:00:00,2,24,0,7.37,56,41,7
1727654400000,  4,00:00:00,3,21.6,7.37,5.01,88,83,2
1727740800000,  5,00:00:00,4,11.73,7.37,0,100,98,1
1727827200000,  6,00:00:00,5,11.47,0,7.37,76,85,5
1727913600000,  7,00:00:00,6,24,0,44.62,61,48,4
1728000000000,  8,00:00:00,7,24,0,1.21,91,89,4
1728086400000,  9,00:00:00,1,22.58,0,6.54,78,76,4
1728172800000, 10,00:00:00,2,12.45,7.37,7.37,51,61,5
1728259200000, 11,00:00:00,3,24,0,7.26,81,61,3
1728345600000, 12,00:00:00,4,23.82,0,0,100,100,1
1728432000000, 13,00:00:00,5,24,0,2.77,88,83,3
1728518400000, 14,00:00:00,6,17.72,0,44.62,59,57,3
1728604800000, 15,00:00:00,7,11,804.72,794.19,62,73,4
1728691200000, 16,00:00:00,1,14.62,806.22,35.15,50,64,4
1728777600000, 17,00:00:00,2,5.55,815.83,0,100,95,1
1728864000000, 18,00:00:00,3,24,806.22,21.25,62,55,5
1728950400000, 19,00:00:00,4,19.33,803.81,810.91,43,47,6
1729036800000, 20,00:00:00,5,6.42,7.37,0,100,100,1
1729123200000, 21,00:00:00,6,4.93,9.53,5.01,67,90,2
1729209600000, 22,00:00:00,7,19.5,7.37,6.69,86,76,2
1729296000000, 23,00:00:00,1,,,,,,
1729382400000, 24,00:00:00,2,7.53,3.82,3.75,45,77,5
1729468800000, 25,00:00:00,3,18.53,7.37,7.43,56,57,8
1729555200000, 26,00:00:00,4,24,0,44.62,69,54,6
1729641600000, 27,00:00:00,5,13.75,0,2.77,63,78,2
1729728000000, 28,00:00:00,6,23.08,0,44.62,47,38,6
1729814400000, 29,00:00:00,7,24,7.37,0,100,96,1
1729900800000, 30,00:00:00,1,24,7.37,6.69,65,56,3
1729987200000, 31,00:00:00,2,15.03,7.37,6.69,76,78,2
1730073600000, 32,00:00:00,3,4.52,6.46,0,100,90,1
1730160000000, 33,00:00:00,4,14.93,262.51,262.51,65,54,4
1730246400000, 34,00:00:00,5,9.85,262.51,0,100,100,1
1730332800000, 35,00:00:00,6,,,,,,
1730419200000, 36,00:00:00,7,,,,,,
1730505600000, 37,00:00:00,1,,,,,,
1730592000000, 38,00:00:00,2,,,,,,
1730678400000, 39,00:00:00,3,,,,,,
1730764800000, 40,00:00:00,4,,,,,,
1730851200000, 41,00:00:00,5,13.43,7.37,7.43,52,71,4
1730937600000, 42,00:00:00,6,24,0,44.62,37,30,6
1731024000000, 43,00:00:00,7,23.38,0,7.37,78,74,7
